station_id,station_name,datetime,temperature,rainfall,,,,
C0Z230,和平,2021/1/1 12:00,14.1,0,,,,
C0Z230,和平,2021/1/2 12:00,16.7,0,,,,
C0Z230,和平,2021/1/3 12:00,18.5,0,,,,
C0Z230,和平,2021/1/4 12:00,19.7,0,,,,
C0Z230,和平,2021/1/5 12:00,19.7,0,,,,
C0Z230,和平,2021/1/6 12:00,17.8,0,,,,
C0Z230,和平,2021/1/7 12:00,15.9,0,,,,
C0Z230,和平,2021/1/8 12:00,11.7,0,,,,
C0Z230,和平,2021/1/9 12:00,11.1,0,,,,
C0Z230,和平,2021/1/10 12:00,13.7,0,,,,
C0Z230,和平,2021/1/11 12:00,14.4,2,,,,
C0Z230,和平,2021/1/12 12:00,13,0.5,,,,
C0Z230,和平,2021/1/13 12:00,14.2,0,,,,
C0Z230,和平,2021/1/14 12:00,15.7,0,,,,
C0Z230,和平,2021/1/15 12:00,17.7,0,,,,
C0Z230,和平,2021/1/16 12:00,18.6,0,,,,
C0Z230,和平,2021/1/17 12:00,16.8,0,,,,
C0Z230,和平,2021/1/18 12:00,15.8,0,,,,
C0Z230,和平,2021/1/19 12:00,16.8,0,,,,
C0Z230,和平,2021/1/20 12:00,18.2,11,,,,
C0Z230,和平,2021/1/21 12:00,20.9,0,,,,
C0Z230,和平,2021/1/22 12:00,22.1,2.5,,,,
C0Z230,和平,2021/1/23 12:00,21.7,0,,,,
C0Z230,和平,2021/1/24 12:00,19.4,0,,,,
C0Z230,和平,2021/1/25 12:00,19.3,0,,,,
C0Z230,和平,2021/1/26 12:00,19.9,0,,,,
C0Z230,和平,2021/1/27 12:00,19.3,1,,,,
C0Z230,和平,2021/1/28 12:00,18.3,0.5,,,,
C0Z230,和平,2021/1/29 12:00,16,0,,,,
C0Z230,和平,2021/1/30 12:00,17.5,0,,,,
C0Z230,和平,2021/1/31 12:00,19.6,0,,,,
C0Z230,和平,2021/2/1 12:00,20.6,0,,,,
C0Z230,和平,2021/2/2 12:00,19.3,0,,,,
C0Z230,和平,2021/2/3 12:00,18.9,0,,,,
C0Z230,和平,2021/2/4 12:00,19.2,0,,,,
C0Z230,和平,2021/2/5 12:00,19.7,3.5,,,,
C0Z230,和平,2021/2/6 12:00,20.8,0,,,,
C0Z230,和平,2021/2/7 12:00,21,0,,,,
C0Z230,和平,2021/2/8 12:00,19.6,0,,,,
C0Z230,和平,2021/2/9 12:00,17.9,5,,,,
C0Z230,和平,2021/2/10 12:00,19.7,6.5,,,,
C0Z230,和平,2021/2/11 12:00,20.9,14,,,,
C0Z230,和平,2021/2/12 12:00,20.7,5,,,,
C0Z230,和平,2021/2/13 12:00,20.5,0,,,,
C0Z230,和平,2021/2/14 12:00,20.7,6,,,,
C0Z230,和平,2021/2/15 12:00,20.2,0.5,,,,
C0Z230,和平,2021/2/16 12:00,19,1.5,,,,
C0Z230,和平,2021/2/17 12:00,18.2,0,,,,
C0Z230,和平,2021/2/18 12:00,15.8,0,,,,
C0Z230,和平,2021/2/19 12:00,15.3,0,,,,
C0Z230,和平,2021/2/20 12:00,17.7,0,,,,
C0Z230,和平,2021/2/21 12:00,19.2,0,,,,
C0Z230,和平,2021/2/22 12:00,20.4,0,,,,
C0Z230,和平,2021/2/23 12:00,21,0,,,,
C0Z230,和平,2021/2/24 12:00,22.2,0,,,,
C0Z230,和平,2021/2/25 12:00,22.4,0,,,,
C0Z230,和平,2021/2/26 12:00,21.8,0,,,,
C0Z230,和平,2021/2/27 12:00,20.6,0,,,,
C0Z230,和平,2021/2/28 12:00,19.9,0,,,,
C0Z230,和平,2021/3/1 0:00,22.2,0,,,,
C0Z230,和平,2021/3/2 12:00,19.3,0,,,,
C0Z230,和平,2021/3/3 12:00,18.9,0,,,,
C0Z230,和平,2021/3/4 12:00,21.3,0,,,,
C0Z230,和平,2021/3/5 12:00,20.9,0,,,,
C0Z230,和平,2021/3/6 12:00,22.5,0,,,,
C0Z230,和平,2021/3/7 12:00,22.1,0,,,,
C0Z230,和平,2021/3/8 12:00,21.2,0,,,,
C0Z230,和平,2021/3/9 12:00,21.5,0,,,,
C0Z230,和平,2021/3/10 12:00,20.3,0,,,,
C0Z230,和平,2021/3/11 12:00,22.6,0,,,,
C0Z230,和平,2021/3/12 12:00,22,0,,,,
C0Z230,和平,2021/3/13 12:00,20,0,,,,
C0Z230,和平,2021/3/14 12:00,20.6,0,,,,
C0Z230,和平,2021/3/15 12:00,22.2,0,,,,
C0Z230,和平,2021/3/16 12:00,23.3,0,,,,
C0Z230,和平,2021/3/17 12:00,24.1,0,,,,
C0Z230,和平,2021/3/18 12:00,24.6,73,,,,
C0Z230,和平,2021/3/19 12:00,24.8,4,,,,
C0Z230,和平,2021/3/20 12:00,24.2,0.5,,,,
C0Z230,和平,2021/3/21 12:00,19.8,1,,,,
C0Z230,和平,2021/3/22 12:00,16.8,0,,,,
C0Z230,和平,2021/3/23 12:00,17.2,0,,,,
C0Z230,和平,2021/3/24 12:00,20,1.5,,,,
C0Z230,和平,2021/3/25 12:00,20.8,0,,,,
C0Z230,和平,2021/3/26 12:00,22.5,0,,,,
C0Z230,和平,2021/3/27 12:00,23.9,0,,,,
C0Z230,和平,2021/3/28 12:00,25,0,,,,
C0Z230,和平,2021/3/29 12:00,25.3,0,,,,
C0Z230,和平,2021/3/30 12:00,25.1,0.5,,,,
C0Z230,和平,2021/3/31 12:00,25.2,1.5,,,,
C0Z230,和平,2021/4/1 0:00,26.2,0,,,,
C0Z230,和平,2021/4/2 12:00,26.1,0,,,,
C0Z230,和平,2021/4/3 12:00,25.5,0,,,,
C0Z230,和平,2021/4/4 12:00,21.9,0,,,,
C0Z230,和平,2021/4/5 12:00,19,0,,,,
C0Z230,和平,2021/4/6 12:00,20.2,0,,,,
C0Z230,和平,2021/4/7 12:00,21.4,0,,,,
C0Z230,和平,2021/4/8 12:00,22.8,6,,,,
C0Z230,和平,2021/4/9 12:00,21.1,0,,,,
C0Z230,和平,2021/4/10 12:00,23,0,,,,
C0Z230,和平,2021/4/11 12:00,24,8.5,,,,
C0Z230,和平,2021/4/12 12:00,24.5,0,,,,
C0Z230,和平,2021/4/13 12:00,23.9,0,,,,
