station_id,station_name,datetime,temperature,rainfall
C0T9D0,和中,2022/1/1 12:00,17.4,0
C0T9D0,和中,2022/1/2 12:00,17.3,0
C0T9D0,和中,2022/1/3 12:00,18.2,0
C0T9D0,和中,2022/1/4 12:00,19.5,6
C0T9D0,和中,2022/1/5 12:00,19.4,1.5
C0T9D0,和中,2022/1/6 12:00,16.7,1
C0T9D0,和中,2022/1/7 12:00,16,6
C0T9D0,和中,2022/1/8 12:00,15.9,0
C0T9D0,和中,2022/1/9 12:00,17.9,0
C0T9D0,和中,2022/1/10 12:00,18,0
C0T9D0,和中,2022/1/11 12:00,14.7,0
C0T9D0,和中,2022/1/12 12:00,14,0
C0T9D0,和中,2022/1/13 12:00,14.7,0
C0T9D0,和中,2022/1/14 12:00,14.2,0
C0T9D0,和中,2022/1/15 12:00,16.7,0
C0T9D0,和中,2022/1/16 12:00,18.3,0
C0T9D0,和中,2022/1/17 12:00,18.9,1
C0T9D0,和中,2022/1/18 12:00,16.9,3
C0T9D0,和中,2022/1/19 12:00,16.5,5
C0T9D0,和中,2022/1/20 12:00,16.2,47.5
C0T9D0,和中,2022/1/21 12:00,16.6,44
C0T9D0,和中,2022/1/22 12:00,17.7,100
C0T9D0,和中,2022/1/23 12:00,20.1,0.5
C0T9D0,和中,2022/1/24 12:00,18.5,0.5
C0T9D0,和中,2022/1/25 12:00,18.3,17.5
C0T9D0,和中,2022/1/26 12:00,18.9,0.5
C0T9D0,和中,2022/1/27 12:00,19.5,2.5
C0T9D0,和中,2022/1/28 12:00,18.7,11
C0T9D0,和中,2022/1/29 12:00,17.4,18
C0T9D0,和中,2022/1/30 0:00,16,0
C0T9D0,和中,2022/1/31 0:00,15.1,0
C0T9D0,和中,2022/2/1 12:00,17.2,1
C0T9D0,和中,2022/2/2 12:00,19.1,0
C0T9D0,和中,2022/2/3 12:00,17.7,6.5
C0T9D0,和中,2022/2/4 12:00,16.8,0.5
C0T9D0,和中,2022/2/5 12:00,15.6,0
C0T9D0,和中,2022/2/6 12:00,15.9,0
C0T9D0,和中,2022/2/7 12:00,17.7,6.5
C0T9D0,和中,2022/2/8 12:00,16.4,0.5
C0T9D0,和中,2022/2/9 12:00,17.6,0
C0T9D0,和中,2022/2/10 12:00,18.3,7
C0T9D0,和中,2022/2/11 12:00,18.7,15.5
C0T9D0,和中,2022/2/12 12:00,19.8,0
C0T9D0,和中,2022/2/13 12:00,19.7,5
C0T9D0,和中,2022/2/14 12:00,16,8.5
C0T9D0,和中,2022/2/15 12:00,17,0
C0T9D0,和中,2022/2/16 12:00,16.2,51.5
C0T9D0,和中,2022/2/17 12:00,17.6,18
C0T9D0,和中,2022/2/18 12:00,19.3,0
C0T9D0,和中,2022/2/19 12:00,17.5,0.5
C0T9D0,和中,2022/2/20 12:00,13.6,2
C0T9D0,和中,2022/2/21 12:00,13.6,8
C0T9D0,和中,2022/2/22 12:00,16.4,9.5
C0T9D0,和中,2022/2/23 12:00,14.5,10.5
C0T9D0,和中,2022/2/24 12:00,15.5,0
C0T9D0,和中,2022/2/25 12:00,16.7,0
C0T9D0,和中,2022/2/26 12:00,18.8,0
C0T9D0,和中,2022/2/27 12:00,17.3,0
C0T9D0,和中,2022/2/28 12:00,18.7,0
C0T9D0,和中,2022/3/1 0:00,20.5,0
C0T9D0,和中,2022/3/2 12:00,19.4,0.5
C0T9D0,和中,2022/3/3 12:00,19.8,12.5
C0T9D0,和中,2022/3/4 12:00,21.4,0
C0T9D0,和中,2022/3/5 12:00,20,1
C0T9D0,和中,2022/3/6 12:00,19.5,0
C0T9D0,和中,2022/3/7 12:00,17.9,0
C0T9D0,和中,2022/3/8 12:00,16.2,0
C0T9D0,和中,2022/3/9 12:00,18.3,0
C0T9D0,和中,2022/3/10 12:00,19.7,0
C0T9D0,和中,2022/3/11 12:00,19.6,0
C0T9D0,和中,2022/3/12 12:00,21.1,0
C0T9D0,和中,2022/3/13 12:00,20.9,2.5
C0T9D0,和中,2022/3/14 12:00,21.7,0.5
C0T9D0,和中,2022/3/15 12:00,21.7,0
C0T9D0,和中,2022/3/16 12:00,21.2,1
C0T9D0,和中,2022/3/17 12:00,22.5,1
C0T9D0,和中,2022/3/18 12:00,20.5,0.5
C0T9D0,和中,2022/3/19 12:00,20.5,4.5
C0T9D0,和中,2022/3/20 12:00,20.3,68
C0T9D0,和中,2022/3/21 12:00,22.4,3
C0T9D0,和中,2022/3/22 12:00,20,0
C0T9D0,和中,2022/3/23 12:00,18,12.5
C0T9D0,和中,2022/3/24 12:00,18.1,0
C0T9D0,和中,2022/3/25 12:00,23.1,0
C0T9D0,和中,2022/3/26 12:00,23.3,0.5
C0T9D0,和中,2022/3/27 12:00,19.3,2
C0T9D0,和中,2022/3/28 12:00,18.7,3
C0T9D0,和中,2022/3/29 12:00,19.8,5.5
C0T9D0,和中,2022/3/30 12:00,22,1.5
C0T9D0,和中,2022/3/31 12:00,21.9,5
C0T9D0,和中,2022/4/1 12:00,18.5,0
C0T9D0,和中,2022/4/2 12:00,18,0.5
C0T9D0,和中,2022/4/3 12:00,17,1
C0T9D0,和中,2022/4/4 12:00,19.5,0
C0T9D0,和中,2022/4/5 12:00,19,0
C0T9D0,和中,2022/4/6 12:00,19.3,7.5
C0T9D0,和中,2022/4/7 12:00,18.7,3
C0T9D0,和中,2022/4/8 12:00,19.1,3
C0T9D0,和中,2022/4/9 12:00,20.6,0
C0T9D0,和中,2022/4/10 12:00,21.9,1.5
C0T9D0,和中,2022/4/11 12:00,23.2,0
C0T9D0,和中,2022/4/12 12:00,22.8,11.5
C0T9D0,和中,2022/4/13 12:00,22.7,10.5
C0T9D0,和中,2022/4/14 12:00,22.5,0
C0T9D0,和中,2022/4/15 12:00,20.8,0.5
C0T9D0,和中,2022/4/16 12:00,19.7,0
C0T9D0,和中,2022/4/17 12:00,19.1,0
C0T9D0,和中,2022/4/18 12:00,20.2,0
C0T9D0,和中,2022/4/19 12:00,18.5,0
C0T9D0,和中,2022/4/20 12:00,19.3,0
C0T9D0,和中,2022/4/21 12:00,22.3,0
C0T9D0,和中,2022/4/22 12:00,24.5,2
C0T9D0,和中,2022/4/23 12:00,23.5,12.5
C0T9D0,和中,2022/4/24 12:00,24.7,0
C0T9D0,和中,2022/4/25 12:00,25.8,0
C0T9D0,和中,2022/4/26 12:00,26.5,2
C0T9D0,和中,2022/4/27 12:00,25.1,2
C0T9D0,和中,2022/4/28 12:00,25.3,17
C0T9D0,和中,2022/4/29 12:00,24.9,1
C0T9D0,和中,2022/4/30 12:00,22.1,1.5
C0T9D0,和中,2022/5/1 0:00,20.3,0
C0T9D0,和中,2022/5/2 12:00,17,7
C0T9D0,和中,2022/5/3 12:00,18.6,5
C0T9D0,和中,2022/5/4 12:00,20.8,5
C0T9D0,和中,2022/5/5 12:00,23.3,2.5
C0T9D0,和中,2022/5/6 12:00,23.8,0
C0T9D0,和中,2022/5/7 12:00,23.8,0
C0T9D0,和中,2022/5/8 12:00,24.2,0
C0T9D0,和中,2022/5/9 12:00,22.4,62
C0T9D0,和中,2022/5/10 12:00,23.7,4.5
C0T9D0,和中,2022/5/11 12:00,23.7,0.5
C0T9D0,和中,2022/5/12 12:00,24.6,2.5
C0T9D0,和中,2022/5/13 12:00,24.2,0.5
C0T9D0,和中,2022/5/14 12:00,22.3,40
C0T9D0,和中,2022/5/15 12:00,20.1,0.5
C0T9D0,和中,2022/5/16 12:00,19,10.5
C0T9D0,和中,2022/5/17 12:00,20,1.5
C0T9D0,和中,2022/5/18 12:00,22.4,3
C0T9D0,和中,2022/5/19 12:00,23.2,28
C0T9D0,和中,2022/5/20 12:00,24.1,0
C0T9D0,和中,2022/5/21 12:00,22.5,0
C0T9D0,和中,2022/5/22 12:00,22,0.5
C0T9D0,和中,2022/5/23 12:00,24,0.5
C0T9D0,和中,2022/5/24 12:00,22.9,24.5
C0T9D0,和中,2022/5/25 12:00,22.9,38
C0T9D0,和中,2022/5/26 12:00,23,18.5
C0T9D0,和中,2022/5/27 12:00,22.9,20
C0T9D0,和中,2022/5/28 12:00,23.8,0.5
C0T9D0,和中,2022/5/29 12:00,,0
C0T9D0,和中,2022/5/30 12:00,27.5,20
C0T9D0,和中,2022/5/31 12:00,24.5,38.5
C0T9D0,和中,2022/6/1 12:00,25.9,0.5
C0T9D0,和中,2022/6/2 12:00,26.1,0.5
C0T9D0,和中,2022/6/3 12:00,25.9,0
C0T9D0,和中,2022/6/4 12:00,26,0.5
C0T9D0,和中,2022/6/5 12:00,26.3,0
C0T9D0,和中,2022/6/6 12:00,26.6,1.5
C0T9D0,和中,2022/6/7 12:00,23.5,44.5
C0T9D0,和中,2022/6/8 12:00,22.2,38
C0T9D0,和中,2022/6/9 12:00,23.5,1.5
C0T9D0,和中,2022/6/10 12:00,24.4,0
C0T9D0,和中,2022/6/11 12:00,25.1,3.5
C0T9D0,和中,2022/6/12 12:00,24.5,3.5
C0T9D0,和中,2022/6/13 12:00,27,0
C0T9D0,和中,2022/6/14 12:00,27,13.5
C0T9D0,和中,2022/6/15 12:00,25.6,0.5
C0T9D0,和中,2022/6/16 12:00,25.2,2
C0T9D0,和中,2022/6/17 12:00,25.9,0.5
C0T9D0,和中,2022/6/18 12:00,26.4,0
C0T9D0,和中,2022/6/19 12:00,26.9,0
C0T9D0,和中,2022/6/20 12:00,26.9,0
C0T9D0,和中,2022/6/21 12:00,26.4,5.5
C0T9D0,和中,2022/6/22 12:00,26.8,0
C0T9D0,和中,2022/6/23 12:00,27.6,0
C0T9D0,和中,2022/6/24 12:00,27.9,0
C0T9D0,和中,2022/6/25 12:00,28,0
C0T9D0,和中,2022/6/26 12:00,27.7,10.5
C0T9D0,和中,2022/6/27 12:00,27.3,0.5
C0T9D0,和中,2022/6/28 12:00,27.9,0
C0T9D0,和中,2022/6/29 12:00,27.9,0
C0T9D0,和中,2022/6/30 12:00,27.6,3
C0T9D0,和中,2022/7/1 0:00,26.4,3
C0T9D0,和中,2022/7/2 12:00,26,0.5
